timestamp,x,y,z,qx,qy,qz,qw
0,1.665335e-16,-1.110223e-16,2.220446e-16,0.0,0.0,0.0,1.0
1,0.01210187,0.0004468736,0.1267281,0.0005067079677497763,0.0077043588818078886,-0.0006869021294461347,0.9999699566820597
2,0.03021791,0.0009791738,0.268623,0.000290418277636339,0.018032936312792444,-0.0020647384599188174,0.9998352192837853
3,0.05987546,0.002308105,0.4305403,-0.0004134584789108955,0.03139351061549731,-0.002868785814415422,0.9995028997513072
4,0.1050408,0.003322381,0.6034613,-0.0015965412397274392,0.04812354672540856,-0.0027858620729165917,0.9988362299592201
5,0.1652963,0.005264528,0.7870087,-0.0026726631067316505,0.06707863785441119,-0.0014014386166300754,0.9977431278567237
6,0.2401943,0.007625042,0.9812571,-0.002859926480856189,0.08694455680167953,0.00019195196486977698,0.9962090282754553
7,0.3220547,0.01121243,1.185453,-0.0034932026729264285,0.10876807491250605,0.00022602798292450268,0.9940609902446953
8,0.4170054,0.0147447,1.399473,-0.004731685371158028,0.13326517548506517,-4.3349902843619034e-05,0.9910691208373253
9,0.5318267,0.01361741,1.620036,-0.008210774407472723,0.15795576408148604,0.0008021101757817617,0.9874117258754473
10,0.6772189,0.01304237,1.841928,-0.011737280022320882,0.18247335812463045,0.005023373594528961,0.9831279039627182
11,0.8328051,0.01601613,2.063052,-0.013482398042224083,0.20923424602785637,0.007418575653512857,0.9777444553498928
12,0.9991018,0.01908196,2.286905,-0.015192787939454605,0.23729931957502523,0.0074983332811946685,0.971288827858048
13,1.18805,0.02416489,2.5128,-0.017552543835526953,0.2653879261568771,0.007664585219062742,0.9639514567593502
14,1.399778,0.03070196,2.733367,-0.019181388471522277,0.2939210327925193,0.009369582966609542,0.9555912890632245
15,1.634196,0.03653765,2.948016,-0.020187273318055223,0.3229145408078396,0.011535922553388013,0.9461424817762315
16,1.890112,0.04599883,3.160521,-0.020968678543692647,0.3509852246025812,0.013121964798347725,0.9360542188733716
17,2.166152,0.0599496,3.369735,-0.020824991633288707,0.37817527847657434,0.014520413358859875,0.9253858309205554
18,2.465897,0.07581133,3.579897,-0.020889606189110822,0.40490680625174436,0.015148322551555033,0.9139937805741077
19,2.784666,0.09232525,3.792151,-0.022523085911166973,0.43051854441761567,0.014153037553612795,0.9021896613470927
20,3.131897,0.1077991,4.000366,-0.023433646025889782,0.454191116663929,0.013749462023465287,0.8904898910552392
21,3.507611,0.1241318,4.202254,-0.023867007245311735,0.47579820884688945,0.013815615710659248,0.8791220388465866
22,3.909356,0.1392366,4.402127,-0.02481738241885274,0.495777673010796,0.014355150518199066,0.8679761091916508
23,4.338561,0.1575565,4.60041,-0.025229312247427065,0.514320760987381,0.013677081516285028,0.8571175964020806
24,4.794196,0.1775272,4.791823,-0.02472714276842896,0.5317598690847387,0.013270080989230356,0.8464301004761294
25,5.277728,0.1987946,4.974126,-0.022759278807980843,0.5474673504965138,0.01342649295609671,0.8364097349118836
26,5.789743,0.2220149,5.152037,-0.020564337888998214,0.5608518596768772,0.013731161519319239,0.8275468293139101
